Variety,WeightedAveragePrice,Grown
BRAEBURN,4.99,Washington
FUJI,1.23,Washington & Pennsylvania
GALA,3.52,California
GOLDEN DELICIOUS,1.23,West Virginia
GRANNY SMITH,3.57,Washington
HONEYCRISP,1.76,Minnesota & Michigan
JONAGOLD,2.95,Washington
JONATHAN,2.78,Michigan
MCINTOSH,1,Pennsylvania
PINK LADY/CRIPPS PINK,1.81,Washington
RED DELICIOUS,1.28,Iowa
